Metric,Mean,Std,Min,Max
PSNR Embed,33.11828916029158,0.7228800937588594,32.156276871211496,34.34017013695001
Clean BER Std,0.0,0.0,0.0,0.0
Clean NCC Std,1.0,0.0,1.0,1.0
Clean BER Enh,0.0,0.0,0.0,0.0
Clean NCC Enh,1.0,0.0,1.0,1.0
JPEG PSNR,38.97179062989873,0.8607798162290585,37.49308564309113,40.003856419599266
JPEG BER Std,0.00068359375,0.0009264485332524547,0.0,0.0029296875
JPEG NCC Std,0.9996223649344319,0.0005120283542332274,0.9983805657389908,1.0
JPEG BER Enh,0.00068359375,0.0009264485332524547,0.0,0.0029296875
JPEG NCC Enh,0.9996223649344319,0.0005120283542332274,0.9983805657389908,1.0
Crop PSNR,19.206391880596577,2.6308424318809815,14.683619352946067,23.038575271959104
Crop BER Std,0.03798828125,0.012017407401256997,0.01953125,0.0537109375
Crop NCC Std,0.9787723784548102,0.0067748413730409135,0.9698808298775524,0.9891536922888758
Crop BER Enh,0.03798828125,0.012017407401256997,0.01953125,0.0537109375
Crop NCC Enh,0.9787723784548102,0.0067748413730409135,0.9698808298775524,0.9891536922888758
Rot PSNR,19.705214786288657,2.6503150588509086,16.80670513284531,24.576749231299054
Rot BER Std,0.5556640625,0.03942701023083271,0.5146484375,0.6318359375
Rot NCC Std,0.6206483807138748,0.03582931336184596,0.5496212960519818,0.6576322233726122
Rot BER Enh,0.09130859375,0.06152989590770824,0.0068359375,0.203125
Rot NCC Enh,0.9476105896520369,0.0360966390245849,0.8806964565929026,0.9962178122521371
Gauss PSNR,28.29881592092449,0.1079659379986028,28.12763108634314,28.46969089110619
Gauss BER Std,0.00107421875,0.0009711219980583528,0.0,0.0029296875
Gauss NCC Std,0.9994075446612806,0.0005352006926800205,0.9983857939435972,1.0
Gauss BER Enh,0.00107421875,0.0009711219980583528,0.0,0.0029296875
Gauss NCC Enh,0.9994075446612806,0.0005352006926800205,0.9983857939435972,1.0
Uniform PSNR,29.51495488889816,0.07853341968571055,29.383453335387184,29.603760833018814
Uniform BER Std,0.00078125,0.0010085894130748483,0.0,0.001953125
Uniform NCC Std,0.9995689650162541,0.0005564641759498165,0.9989206688705923,1.0
Uniform BER Enh,0.00078125,0.0010085894130748483,0.0,0.001953125
Uniform NCC Enh,0.9995689650162541,0.0005564641759498165,0.9989206688705923,1.0
